CustomerKey,CustomerName,Country,State,City,Gender,MaritalStatus,YearlyIncome,Occupation,DateFirstPurchase,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,SegmentOrder,Segment
11019,Luke Lal,Canada,British Columbia,Langley,Male,Single,40000,Skilled Manual,2007-08-16,17,17,882.7,5,5,3,553,3,Potential Loyalist
11020,Jordan King,Canada,British Columbia,Metchosin,Male,Single,40000,Skilled Manual,2007-07-02,396,1,2316.97,1,1,4,114,11,Cannot Lose Them
11021,Destiny Wilson,United States,Oregon,Beaverton,Female,Single,40000,Skilled Manual,2007-07-27,371,1,2371.9599999999996,1,1,4,114,11,Cannot Lose Them
11022,Ethan Zhang,United States,Washington,Bellingham,Male,Married,40000,Skilled Manual,2007-07-24,374,1,2322.2799999999997,1,1,4,114,11,Cannot Lose Them
11023,Seth Edwards,United States,California,Bellflower,Male,Married,40000,Skilled Manual,2007-08-21,15,2,122.24,5,4,3,543,2,Loyal
11024,Russell Xie,United States,California,Concord,Male,Married,60000,Skilled Manual,2007-12-29,187,2,56.510000000000005,3,4,2,342,3,Potential Loyalist
11025,Alejandro Beck,Australia,Queensland,Hawthorne,Male,Married,10000,Clerical,2005-07-09,96,3,6576.799999999999,4,5,5,455,1,Champions
11026,Harold Sai,Australia,New South Wales,Goulburn,Male,Single,30000,Clerical,2005-07-26,106,3,6575.79,4,5,5,455,1,Champions
11027,Jessie Zhao,Australia,Victoria,Warrnambool,Male,Married,30000,Clerical,2005-07-19,97,3,6591.57,4,5,5,455,1,Champions
11028,Jill Jimenez,Australia,New South Wales,St. Leonards,Female,Married,30000,Clerical,2005-07-29,114,3,6474.62,4,5,5,455,1,Champions
11029,Jimmy Moreno,Australia,Victoria,Bendigo,Male,Married,30000,Clerical,2005-07-22,79,3,6565.29,4,5,5,455,1,Champions
11030,Bethany Yuan,Australia,South Australia,Cloverdale,Female,Married,10000,Clerical,2005-08-08,81,3,6471.32,4,5,5,455,1,Champions
11031,Theresa Ramos,Australia,New South Wales,Matraville,Female,Married,20000,Skilled Manual,2005-08-04,77,3,6478.599999999999,4,5,5,455,1,Champions
11032,Denise Stone,Australia,Victoria,Melbourne,Female,Married,20000,Skilled Manual,2005-08-21,82,3,6525.5599999999995,4,5,5,455,1,Champions
11033,Jaime Nath,Australia,New South Wales,Milsons Point,Male,Married,20000,Skilled Manual,2005-08-18,85,3,6495.29,4,5,5,455,1,Champions
11034,Ebony Gonzalez,Australia,New South Wales,North Sydney,Female,Married,20000,Skilled Manual,2005-08-04,80,3,6491.32,4,5,5,455,1,Champions
11035,Wendy Dominguez,Australia,Victoria,Cranbourne,Female,Married,10000,Clerical,2005-08-09,75,3,6451.3099999999995,4,5,5,455,1,Champions
11036,Jennifer Russell,United States,California,National City,Female,Married,60000,Skilled Manual,2007-07-26,372,1,2354.9799999999996,1,1,4,114,11,Cannot Lose Them
11037,Chloe Garcia,Canada,British Columbia,Cliffside,Female,Single,40000,Clerical,2007-07-24,374,1,2374.2299999999996,1,1,4,114,11,Cannot Lose Them
11038,Diana Hernandez,Australia,New South Wales,Lavender Bay,Female,Married,10000,Clerical,2005-08-10,78,3,6437.33,4,5,5,455,1,Champions
11039,Marc Martin,Australia,New South Wales,Wollongong,Male,Married,30000,Clerical,2005-08-10,79,3,6636.58,4,5,5,455,1,Champions
11040,Jesse Murphy,United States,Washington,Tacoma,Male,Married,30000,Skilled Manual,2007-10-05,301,1,2350.9599999999996,1,1,4,114,11,Cannot Lose Them
11041,Amanda Carter,United States,California,Glendale,Female,Married,60000,Skilled Manual,2007-07-18,380,1,2380.47,1,1,4,114,11,Cannot Lose Them
11042,Megan Sanchez,United States,California,Los Angeles,Female,Married,70000,Skilled Manual,2007-07-25,104,2,3112.33,4,4,4,444,2,Loyal
11043,Nathan Simmons,United States,California,Glendale,Male,Married,60000,Skilled Manual,2007-11-09,164,2,47.980000000000004,3,4,2,342,3,Potential Loyalist
11044,Adam Flores,Australia,Queensland,Hervey Bay,Male,Married,20000,Clerical,2005-08-31,82,3,6515.299999999999,4,5,5,455,1,Champions
11045,Leonard Nara,Australia,New South Wales,Matraville,Male,Single,30000,Skilled Manual,2007-10-12,92,2,114.96000000000001,4,4,3,443,9,Need Attention
11046,Christine Yuan,Australia,New South Wales,Lavender Bay,Female,Married,30000,Skilled Manual,2005-08-09,78,3,6616.8099999999995,4,5,5,455,1,Champions
11047,Jaclyn Lu,Australia,Victoria,Geelong,Female,Married,30000,Skilled Manual,2005-08-06,71,3,6582.33,5,5,5,555,1,Champions
11048,Jeremy Powell,Australia,Victoria,Sunbury,Male,Married,30000,Skilled Manual,2005-08-13,35,3,6498.24,5,5,5,555,1,Champions
11049,Carol Rai,United States,California,Chula Vista,Female,Single,40000,Clerical,2007-09-10,92,2,81.26,4,4,2,442,3,Potential Loyalist
11050,Alan Zheng,Australia,Tasmania,Hobart,Male,Married,30000,Skilled Manual,2005-08-23,71,3,5007.3,5,5,5,555,1,Champions
11051,Daniel Johnson,Australia,Queensland,Caloundra,Male,Single,30000,Skilled Manual,2008-07-01,28,2,123.95,5,4,3,543,2,Loyal
11052,Heidi Lopez,Australia,New South Wales,Matraville,Female,Single,40000,Clerical,2005-08-20,247,3,8131.32,2,5,5,255,10,At Risk
11053,Ana Price,United States,California,San Diego,Female,Married,60000,Skilled Manual,2007-07-21,377,1,2329.9799999999996,1,1,4,114,11,Cannot Lose Them
11054,Deanna Munoz,Australia,Victoria,Geelong,Female,Married,40000,Skilled Manual,2005-08-06,244,3,8223.02,2,5,5,255,10,At Risk
11055,Gilbert Raje,Australia,Queensland,East Brisbane,Male,Married,40000,Skilled Manual,2005-08-03,236,3,8168.009999999999,2,5,5,255,10,At Risk
11056,Michele Nath,Australia,New South Wales,Newcastle,Female,Married,40000,Skilled Manual,2005-08-29,243,3,8207.5,2,5,5,255,10,At Risk
11057,Carl Andersen,Australia,New South Wales,Lane Cove,Male,Married,70000,Management,2005-08-25,253,3,8088.04,2,5,5,255,10,At Risk
11058,Marc Diaz,Australia,South Australia,Findon,Male,Married,80000,Skilled Manual,2005-09-09,239,3,8248.019999999999,2,5,5,255,10,At Risk
11059,Ashlee Andersen,Australia,Queensland,Townsville,Female,Single,80000,Skilled Manual,2007-08-22,319,3,116.93,1,5,3,153,10,At Risk
11060,Jon Zhou,Australia,Victoria,Warrnambool,Male,Married,80000,Skilled Manual,2005-09-19,218,3,8153.0199999999995,2,5,5,255,10,At Risk
11061,Todd Gao,Australia,Queensland,Gold Coast,Male,Married,80000,Skilled Manual,2005-09-13,229,3,8129.0199999999995,2,5,5,255,10,At Risk
11062,Noah Powell,United States,Oregon,Portland,Male,Married,40000,Skilled Manual,2007-07-11,387,1,2351.9599999999996,1,1,4,114,11,Cannot Lose Them
11063,Angela Murphy,United States,Washington,Redmond,Female,Single,40000,Skilled Manual,2007-07-16,382,1,2372.95,1,1,4,114,11,Cannot Lose Them
11064,Chase Reed,United States,California,Downey,Male,Married,40000,Skilled Manual,2007-07-29,369,1,2304.9799999999996,1,1,4,114,11,Cannot Lose Them
11065,Jessica Henderson,United States,California,La Jolla,Female,Married,60000,Skilled Manual,2007-08-14,19,2,202.57,5,4,3,543,2,Loyal
11066,Grace Butler,United States,Oregon,Lebanon,Female,Married,70000,Professional,2007-12-02,132,2,81.26,4,4,2,442,3,Potential Loyalist
11067,Caleb Carter,United States,Washington,Port Orchard,Male,Single,60000,Professional,2008-02-19,17,2,105.75,5,4,3,543,2,Loyal
11068,Tiffany Liang,Australia,Victoria,Warrnambool,Female,Single,80000,Skilled Manual,2007-11-01,113,3,113.36,4,5,3,453,3,Potential Loyalist
11069,Carolyn Navarro,Australia,Queensland,Gold Coast,Female,Single,80000,Skilled Manual,2005-10-18,239,3,8104.049999999999,2,5,5,255,10,At Risk
11070,Willie Raji,Australia,Victoria,Sunbury,Male,Married,80000,Skilled Manual,2005-10-29,217,3,8165.55,2,5,5,255,10,At Risk
11071,Linda Serrano,Australia,Queensland,Hawthorne,Female,Single,80000,Skilled Manual,2007-09-02,59,3,110.23,5,5,3,553,3,Potential Loyalist
11072,Casey Luo,Australia,New South Wales,St. Leonards,Female,Single,80000,Skilled Manual,2005-10-01,228,3,8194.0,2,5,5,255,10,At Risk
11073,Amy Ye,Australia,New South Wales,Springwood,Female,Single,70000,Skilled Manual,2007-09-24,161,3,191.9,3,5,3,353,3,Potential Loyalist
11074,Levi Arun,Australia,South Australia,Cloverdale,Male,Single,70000,Skilled Manual,2007-09-24,247,3,94.19,2,5,3,253,10,At Risk
11075,Felicia Jimenez,Australia,Victoria,Bendigo,Female,Single,80000,Professional,2005-10-29,219,3,8068.03,2,5,5,255,10,At Risk
11076,Blake Anderson,Australia,New South Wales,Wollongong,Male,Single,80000,Professional,2005-10-22,222,3,8159.039999999999,2,5,5,255,10,At Risk
11077,Leah Ye,Australia,Victoria,Melton,Female,Single,80000,Professional,2005-10-16,231,3,8169.03,2,5,5,255,10,At Risk
11078,Gina Martin,Canada,British Columbia,Cliffside,Female,Single,40000,Professional,2007-08-19,1,17,913.27,5,5,3,553,3,Potential Loyalist
11079,Donald Gonzalez,Australia,Victoria,Geelong,Male,Single,160000,Management,2007-09-16,28,3,57.95,5,5,2,552,3,Potential Loyalist
11080,Damien Chander,Australia,South Australia,Perth,Male,Married,170000,Management,2005-10-11,220,3,8204.019999999999,2,5,5,255,10,At Risk
11081,Savannah Baker,United States,California,Concord,Female,Married,120000,Management,2007-08-16,291,2,104.26,1,4,3,143,10,At Risk
11082,Angela Butler,United States,California,Fremont,Female,Single,130000,Management,2007-07-26,84,2,3110.81,4,4,4,444,2,Loyal
11083,Alyssa Cox,United States,California,Lincoln Acres,Female,Married,130000,Management,2007-07-10,82,2,3137.3199999999997,4,4,4,444,2,Loyal
11084,Lucas Phillips,United States,Oregon,Lebanon,Male,Single,80000,Skilled Manual,2007-07-08,69,2,3078.6099999999997,5,4,4,544,1,Champions
11085,Emily Johnson,United States,California,Newport Beach,Female,Single,60000,Professional,2008-06-08,21,2,128.96,5,4,3,543,2,Loyal
11086,Ryan Brown,United States,California,Santa Monica,Male,Married,70000,Professional,2008-01-03,39,2,153.45000000000002,5,4,3,543,2,Loyal
11087,Tamara Liang,United States,California,Chula Vista,Female,Married,70000,Professional,2007-08-29,173,2,200.28,3,4,3,343,9,Need Attention
11088,Hunter Davis,United States,California,San Diego,Male,Married,80000,Management,2007-07-17,78,2,3176.7799999999997,4,4,4,444,2,Loyal
11089,Abigail Price,United States,California,Long Beach,Female,Single,80000,Management,2007-07-02,72,2,3188.2799999999997,5,4,4,544,1,Champions
11090,Trevor Bryant,United States,California,Los Angeles,Male,Single,90000,Professional,2006-02-07,69,3,6704.08,5,5,5,555,1,Champions
11091,Dalton Perez,Canada,British Columbia,Haney,Male,Married,90000,Professional,2007-08-02,21,28,1189.33,5,5,4,554,1,Champions
11092,Cheryl Diaz,Australia,Queensland,East Brisbane,Female,Married,90000,Professional,2005-10-09,222,3,8110.0199999999995,2,5,5,255,10,At Risk
11093,Aimee He,Australia,New South Wales,Wollongong,Female,Married,100000,Management,2005-10-08,235,3,8180.0,2,5,5,255,10,At Risk
11094,Cedric Ma,Australia,Victoria,Cranbourne,Male,Single,70000,Skilled Manual,2007-10-09,18,3,235.89000000000001,5,5,3,553,3,Potential Loyalist
11095,Chad Kumar,Australia,New South Wales,Port Macquarie,Male,Single,70000,Skilled Manual,2005-10-02,218,3,8158.009999999999,2,5,5,255,10,At Risk
11096,Andrés Anand,Australia,New South Wales,North Sydney,Male,Married,60000,Professional,2005-10-12,183,3,8063.039999999999,3,5,5,355,2,Loyal
11097,Edwin Nara,Australia,Victoria,Warrnambool,Male,Married,60000,Skilled Manual,2005-10-05,189,3,8099.03,3,5,5,355,2,Loyal
11098,Mallory Rubio,Australia,New South Wales,Rhodes,Female,Single,60000,Skilled Manual,2007-08-15,105,3,88.96,4,5,2,452,3,Potential Loyalist
11099,Adam Ross,Australia,New South Wales,Port Macquarie,Male,Married,60000,Professional,2005-10-08,212,3,8215.99,2,5,5,255,10,At Risk
11100,Latasha Navarro,Australia,South Australia,Cloverdale,Female,Single,60000,Skilled Manual,2005-10-17,175,3,8172.509999999999,3,5,5,355,2,Loyal
11101,Abby Sai,Australia,Victoria,Cranbourne,Female,Single,70000,Professional,2005-10-30,214,3,8262.52,2,5,5,255,10,At Risk
11102,Julia Nelson,Australia,New South Wales,Sydney,Female,Single,80000,Professional,2008-01-17,51,3,102.91,5,5,3,553,3,Potential Loyalist
11103,Cassie Chande,Australia,New South Wales,Darlinghurst,Female,Single,70000,Professional,2005-10-16,237,3,8182.5,2,5,5,255,10,At Risk
11104,Edgar Sara,Australia,Queensland,Gold Coast,Male,Married,70000,Professional,2005-11-04,228,3,8173.03,2,5,5,255,10,At Risk
11105,Candace Fernandez,Australia,New South Wales,Matraville,Female,Single,70000,Professional,2005-11-14,238,3,8095.99,2,5,5,255,10,At Risk
11106,Jessie Liu,Australia,Victoria,Warrnambool,Male,Single,70000,Professional,2005-11-18,228,3,8079.049999999999,2,5,5,255,10,At Risk
11107,Bianca Lin,Australia,New South Wales,St. Leonards,Female,Married,90000,Professional,2005-11-01,222,3,8171.009999999999,2,5,5,255,10,At Risk
11108,Kari Alvarez,Australia,New South Wales,Port Macquarie,Female,Single,70000,Professional,2005-11-03,220,3,8124.04,2,5,5,255,10,At Risk
11109,Ruben Kapoor,Australia,Victoria,South Melbourne,Male,Single,70000,Professional,2005-11-10,219,3,8245.01,2,5,5,255,10,At Risk
11110,Curtis Yang,Australia,New South Wales,Darlinghurst,Male,Married,60000,Skilled Manual,2005-11-01,162,3,8093.03,3,5,5,355,2,Loyal
11111,Meredith Gutierrez,Australia,Victoria,Geelong,Female,Married,60000,Skilled Manual,2005-11-20,160,3,8136.999999999999,3,5,5,355,2,Loyal
11112,Crystal Wang,Australia,Queensland,Hervey Bay,Female,Married,60000,Skilled Manual,2005-11-25,149,3,8295.02,3,5,5,355,2,Loyal
11113,Micheal Blanco,Australia,South Australia,Perth,Male,Married,70000,Professional,2007-08-05,283,3,109.88000000000001,2,5,3,253,10,At Risk
11114,Leslie Moreno,Australia,New South Wales,Rhodes,Female,Single,70000,Skilled Manual,2007-09-19,34,3,122.89,5,5,3,553,3,Potential Loyalist
11115,Alvin Cai,Australia,New South Wales,St. Leonards,Male,Married,70000,Skilled Manual,2007-08-14,27,3,113.71000000000001,5,5,3,553,3,Potential Loyalist
11116,Clinton Carlson,Australia,New South Wales,Sydney,Male,Married,70000,Skilled Manual,2007-09-16,105,3,148.7,4,5,3,453,3,Potential Loyalist
11117,April Deng,Australia,New South Wales,Matraville,Female,Married,70000,Skilled Manual,2005-11-06,218,3,8184.99,2,5,5,255,10,At Risk
11118,Alvin Zeng,Australia,New South Wales,Lavender Bay,Male,Single,80000,Skilled Manual,2008-01-11,3,3,123.80000000000001,5,5,3,553,3,Potential Loyalist
11119,Evan James,Australia,New South Wales,Port Macquarie,Male,Single,30000,Clerical,2007-08-07,67,2,85.22,5,4,2,542,3,Potential Loyalist
11120,Beth Jiménez,Australia,New South Wales,Sydney,Female,Single,40000,Management,2005-11-14,132,3,8242.49,4,5,5,455,1,Champions
11121,Orlando Suarez,Australia,New South Wales,Newcastle,Male,Married,70000,Skilled Manual,2007-12-26,86,3,58.16,4,5,2,452,3,Potential Loyalist
11122,Byron Vazquez,Australia,New South Wales,North Sydney,Male,Married,70000,Skilled Manual,2007-08-25,160,3,42.92999999999999,3,5,2,352,3,Potential Loyalist
11123,Philip Alvarez,Australia,Victoria,Sunbury,Male,Married,70000,Skilled Manual,2007-10-19,4,3,149.84,5,5,3,553,3,Potential Loyalist
11124,Ross Jordan,Australia,Victoria,Warrnambool,Male,Single,80000,Skilled Manual,2005-11-05,225,3,8129.0199999999995,2,5,5,255,10,At Risk
11125,Dana Navarro,Australia,Victoria,Seaford,Female,Single,70000,Skilled Manual,2007-08-04,210,3,79.69,2,5,2,252,10,At Risk
11126,Shaun Carson,Australia,New South Wales,North Ryde,Male,Married,10000,Skilled Manual,2005-11-28,87,3,4972.37,4,5,5,455,1,Champions
11127,Jan Edwards,United States,California,San Gabriel,Female,Married,40000,Skilled Manual,2007-10-12,120,2,43.980000000000004,4,4,2,442,3,Potential Loyalist
11128,Samantha Long,United States,Washington,Renton,Female,Married,40000,Skilled Manual,2007-12-21,170,2,143.94,3,4,3,343,9,Need Attention
11129,Julia Wright,United States,Washington,Sedro Woolley,Female,Single,40000,Skilled Manual,2006-02-06,385,2,5873.26,1,4,5,145,10,At Risk
11130,Caroline Russell,United States,Oregon,Lebanon,Female,Married,30000,Skilled Manual,2008-06-11,51,1,37.29,5,1,1,511,5,New Customers
11131,Amanda Rivera,Canada,British Columbia,Haney,Female,Married,30000,Skilled Manual,2008-04-20,6,5,165.91,5,5,3,553,3,Potential Loyalist
11132,Melissa Richardson,Canada,British Columbia,Langford,Female,Single,30000,Skilled Manual,2007-10-11,295,1,2371.9399999999996,1,1,4,114,11,Cannot Lose Them
11133,Angela Griffin,United States,Oregon,Lake Oswego,Female,Single,30000,Clerical,2008-07-02,30,1,71.96000000000001,5,1,2,512,5,New Customers
11134,Larry Townsend,Australia,South Australia,Perth,Male,Single,10000,Skilled Manual,2005-11-03,87,3,4911.83,4,5,5,455,1,Champions
11135,Marcus Harris,United States,California,Burlingame,Male,Single,30000,Clerical,2007-10-20,286,1,2334.97,2,1,4,214,11,Cannot Lose Them
11136,Brianna Morgan,Canada,British Columbia,Metchosin,Female,Single,40000,Skilled Manual,2007-07-07,391,1,2380.47,1,1,4,114,11,Cannot Lose Them
11137,Jasmine Taylor,United States,Washington,Spokane,Female,Married,40000,Skilled Manual,2008-02-01,9,2,202.57,5,4,3,543,2,Loyal
11138,Lauren Davis,United States,California,Glendale,Female,Married,40000,Skilled Manual,2008-03-22,29,2,78.97,5,4,2,542,3,Potential Loyalist
11139,Tanya Moreno,Australia,South Australia,Cloverdale,Female,Single,30000,Clerical,2008-03-17,104,2,83.97,4,4,2,442,3,Potential Loyalist
11140,Javier Alvarez,United States,California,Burbank,Male,Single,30000,Clerical,2007-09-20,316,1,39.99,1,1,2,112,11,Lost customers
11141,Nicole Ramirez,United States,California,Daly City,Female,Married,40000,Skilled Manual,2007-11-17,123,2,113.96000000000001,4,4,3,443,9,Need Attention
11142,Eduardo Patterson,Canada,British Columbia,Langford,Male,Single,40000,Skilled Manual,2007-08-17,16,17,980.77,5,5,3,553,3,Potential Loyalist
11143,Jonathan Henderson,United States,California,Lakewood,Male,Married,40000,Skilled Manual,2007-12-17,41,2,48.56,5,4,2,542,3,Potential Loyalist
11144,Edward Hernandez,United States,Washington,Ballard,Male,Single,40000,Skilled Manual,2007-07-29,369,1,2399.97,1,1,4,114,11,Cannot Lose Them
11145,Jasmine Coleman,United States,Oregon,Beaverton,Female,Single,40000,Skilled Manual,2007-07-29,369,1,2309.97,1,1,4,114,11,Cannot Lose Them
11146,Karla Goel,Australia,New South Wales,Matraville,Female,Single,40000,Management,2007-08-09,136,3,112.92999999999999,3,5,3,353,3,Potential Loyalist
11147,Ernest Wu,Australia,Victoria,Warrnambool,Male,Married,60000,Management,2005-11-13,105,3,8195.5,4,5,5,455,1,Champions
11148,Ross Vazquez,Australia,Queensland,East Brisbane,Male,Married,40000,Management,2007-09-08,57,3,126.24000000000001,5,5,3,553,3,Potential Loyalist
11149,Theodore Gill,Australia,Queensland,Hervey Bay,Male,Married,40000,Management,2007-12-06,61,3,41.26,5,5,2,552,3,Potential Loyalist
11150,Russell Shen,Australia,Victoria,Sunbury,Male,Single,40000,Management,2007-09-28,198,3,192.42000000000002,3,5,3,353,3,Potential Loyalist
11151,Melinda Gill,Australia,New South Wales,Sydney,Female,Single,60000,Management,2005-11-15,101,3,8087.3099999999995,4,5,5,455,1,Champions
11152,James Williams,United States,Washington,Puyallup,Male,Single,40000,Skilled Manual,2007-07-13,385,1,2294.99,1,1,4,114,11,Cannot Lose Them
11153,Angela James,United States,Washington,Renton,Female,Married,40000,Skilled Manual,2007-09-30,306,2,109.77,1,4,3,143,10,At Risk
11154,Megan Walker,United States,Oregon,Woodburn,Female,Single,40000,Skilled Manual,2007-07-14,384,1,2319.99,1,1,4,114,11,Cannot Lose Them
11155,Hunter Robinson,United States,California,Burbank,Male,Single,40000,Skilled Manual,2007-07-10,388,1,2319.99,1,1,4,114,11,Cannot Lose Them
11156,Maria Roberts,United States,California,Lakewood,Female,Single,40000,Skilled Manual,2007-07-12,386,1,2389.97,1,1,4,114,11,Cannot Lose Them
11157,Hannah Long,United States,Washington,Tacoma,Female,Married,40000,Skilled Manual,2008-01-25,140,2,41.28,3,4,2,342,3,Potential Loyalist
11158,Jason Wright,United States,California,San Gabriel,Male,Single,40000,Skilled Manual,2007-07-23,375,1,2395.9599999999996,1,1,4,114,11,Cannot Lose Them
11159,Brianna Hughes,United States,California,Woodland Hills,Female,Single,40000,Skilled Manual,2008-03-11,83,2,48.559999999999995,4,4,2,442,3,Potential Loyalist
11160,Maurice Tang,United States,California,Concord,Male,Single,40000,Skilled Manual,2007-08-25,342,1,2322.2799999999997,1,1,4,114,11,Cannot Lose Them
11161,Emily Wood,United States,California,Concord,Female,Single,40000,Skilled Manual,2007-12-03,79,2,93.95,4,4,3,443,9,Need Attention
11162,Chase Cox,United States,California,La Jolla,Male,Single,40000,Skilled Manual,2007-08-22,345,1,2329.9799999999996,1,1,4,114,11,Cannot Lose Them
11163,Gabriel Wang,United States,California,Spring Valley,Male,Married,40000,Skilled Manual,2007-11-02,177,2,46.27,3,4,2,342,3,Potential Loyalist
11164,Devin Brooks,United States,California,Torrance,Male,Single,40000,Skilled Manual,2007-10-29,177,2,144.76,3,4,3,343,9,Need Attention
11165,Jocelyn Alexander,United States,California,Oakland,Female,Married,60000,Skilled Manual,2007-11-26,238,2,102.49000000000001,2,4,3,243,10,At Risk
11166,Ashley Martinez,United States,Washington,Olympia,Female,Single,70000,Skilled Manual,2008-04-16,54,2,87.96000000000001,5,4,2,542,3,Potential Loyalist
11167,Jasmine Barnes,United States,Washington,Issaquah,Female,Single,80000,Management,2007-07-11,62,2,3126.33,5,4,4,544,1,Champions
11168,David Rodriguez,United States,California,Oakland,Male,Single,80000,Management,2007-07-19,74,2,3136.5899999999997,4,4,4,444,2,Loyal
11169,Bryce Richardson,United States,California,Coronado,Male,Married,90000,Management,2007-11-27,127,2,81.26,4,4,2,442,3,Potential Loyalist
11170,Carol Howard,United States,Washington,Burien,Female,Married,90000,Management,2008-02-27,31,2,157.23,5,4,3,543,2,Loyal
11171,Jonathan Hill,United States,California,Woodland Hills,Male,Single,100000,Management,2006-02-20,83,3,6716.55,4,5,5,455,1,Champions
11172,Gabrielle Adams,United States,Washington,Lynnwood,Female,Married,100000,Management,2007-11-04,18,2,128.94,5,4,3,543,2,Loyal
11173,Sarah Thomas,United States,Oregon,W. Linn,Female,Single,110000,Management,2007-09-03,36,2,102.49000000000001,5,4,3,543,2,Loyal
11174,Nicholas Robinson,United States,California,Los Angeles,Male,Married,110000,Management,2008-01-14,188,2,48.56,3,4,2,342,3,Potential Loyalist
11175,Luis Wang,United States,California,Beverly Hills,Male,Single,70000,Skilled Manual,2006-02-28,87,3,6710.55,4,5,5,455,1,Champions
11176,Mason Roberts,Canada,British Columbia,Haney,Male,Married,90000,Management,2007-08-06,2,28,1320.01,5,5,4,554,1,Champions
11177,Jose Flores,United States,California,San Diego,Male,Married,110000,Management,2007-09-30,107,2,135.25,4,4,3,443,9,Need Attention
11178,Nathan Johnson,United States,California,Lakewood,Male,Married,100000,Management,2007-08-25,248,2,144.76,2,4,3,243,10,At Risk
11179,Molly Rodriguez,United States,California,Beverly Hills,Female,Married,120000,Management,2007-09-13,20,2,125.44,5,4,3,543,2,Loyal
11180,April Anand,United States,California,Chula Vista,Female,Married,160000,Management,2007-09-18,126,2,138.45,4,4,3,443,9,Need Attention
11181,Devin Martin,United States,California,Los Angeles,Male,Married,170000,Management,2007-11-08,202,2,41.28,3,4,2,342,3,Potential Loyalist
11182,Stephanie Torres,United States,Washington,Sedro Woolley,Female,Single,70000,Management,2008-02-29,24,2,81.26,5,4,2,542,3,Potential Loyalist
11183,Jasmine Lee,United States,California,Santa Cruz,Female,Single,70000,Management,2007-11-01,230,2,46.27,2,4,2,242,10,At Risk
11184,Meghan Hernandez,United States,California,Concord,Female,Single,70000,Management,2008-02-11,112,2,68.25,4,4,2,442,3,Potential Loyalist
11185,Ashley Henderson,Canada,British Columbia,Metchosin,Female,Single,70000,Management,2007-08-25,3,27,1616.31,5,5,4,554,1,Champions
11186,Sarah Price,United States,California,Palo Alto,Female,Single,70000,Management,2008-04-20,22,2,41.28,5,4,2,542,3,Potential Loyalist
